epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.83457,0.91105,3.73338,1.00848,0.0063,0.70095,0.15519,0.1388,0.354,3.86211,0.8636,9.999e-05,9.999e-05,9.999e-05
2,15.3793,0.7255,3.36607,0.96454,0.00902,0.89333,0.28595,0.21406,0.63749,3.8564,0.87392,0.00014143,0.00014143,0.00014143
3,22.9677,0.77149,3.11682,0.95086,0.01046,1,0.2969,0.22982,0.62298,3.75657,0.88711,0.000109545,0.000109545,0.000109545
